IsInstruction,Rating,RT,Response,TrialName,TrialOrder,condition,dot,inertia,num_observations,num_targets,scene,sigma_v,sigma_w,sigma_x,spring,ID
False,15,16160,False,64_5.mp4,18,4,5.0,0.8,8.0,4.0,64.0,2.2,1.857142857142857,120.5,0.0005,Participant_33
False,49,12976,True,101_2.mp4,19,4,2.0,0.8,8.0,4.0,101.0,2.2,2.2857142857142856,120.5,0.0009285714285714286,Participant_33
False,42,13219,True,21_2.mp4,20,4,2.0,0.8,8.0,4.0,21.0,2.2,1.2142857142857144,120.5,0.0009285714285714286,Participant_33
False,68,13396,True,103_4.mp4,21,4,4.0,0.8,8.0,4.0,103.0,2.2,2.2857142857142856,120.5,0.0011428571428571427,Participant_33
False,66,14848,True,86_3.mp4,22,4,3.0,0.8,8.0,4.0,86.0,2.2,2.0714285714285716,120.5,0.0011428571428571427,Participant_33
False,42,13759,False,2_7.mp4,23,4,7.0,0.8,8.0,4.0,2.0,2.2,1.0,120.5,0.0007142857142857143,Participant_33
False,65,14068,False,75_8.mp4,24,4,8.0,0.8,8.0,4.0,75.0,2.2,1.857142857142857,120.5,0.0015714285714285715,Participant_33
False,92,14439,False,116_1.mp4,25,4,1.0,0.8,8.0,4.0,116.0,2.2,2.5,120.5,0.0009285714285714286,Participant_33
False,83,13355,False,88_5.mp4,26,4,5.0,0.8,8.0,4.0,88.0,2.2,2.0714285714285716,120.5,0.0013571428571428571,Participant_33
False,80,12844,False,74_7.mp4,27,4,7.0,0.8,8.0,4.0,74.0,2.2,1.857142857142857,120.5,0.0015714285714285715,Participant_33
False,56,14256,False,107_8.mp4,28,4,8.0,0.8,8.0,4.0,107.0,2.2,2.2857142857142856,120.5,0.0015714285714285715,Participant_33
False,42,12747,True,37_2.mp4,29,4,2.0,0.8,8.0,4.0,37.0,2.2,1.4285714285714284,120.5,0.0009285714285714286,Participant_33
False,100,14144,False,125_2.mp4,30,4,2.0,0.8,8.0,4.0,125.0,2.2,2.5,120.5,0.0017857142857142857,Participant_33
False,96,12936,True,127_4.mp4,31,4,4.0,0.8,8.0,4.0,127.0,2.2,2.5,120.5,0.002,Participant_33
False,95,13971,False,63_4.mp4,32,4,4.0,0.8,8.0,4.0,63.0,2.2,1.6428571428571428,120.5,0.002,Participant_33
False,85,15312,False,105_6.mp4,33,4,6.0,0.8,8.0,4.0,105.0,2.2,2.2857142857142856,120.5,0.0013571428571428571,Participant_33
False,67,13711,False,82_7.mp4,34,4,7.0,0.8,8.0,4.0,82.0,2.2,2.0714285714285716,120.5,0.0007142857142857143,Participant_33
False,58,14544,True,100_1.mp4,35,4,1.0,0.8,8.0,4.0,100.0,2.2,2.2857142857142856,120.5,0.0009285714285714286,Participant_33
False,84,13720,True,111_4.mp4,36,4,4.0,0.8,8.0,4.0,111.0,2.2,2.2857142857142856,120.5,0.002,Participant_33
False,74,13187,True,93_2.mp4,37,4,2.0,0.8,8.0,4.0,93.0,2.2,2.0714285714285716,120.5,0.0017857142857142857,Participant_33
False,86,14868,False,50_7.mp4,38,4,7.0,0.8,8.0,4.0,50.0,2.2,1.6428571428571428,120.5,0.0007142857142857143,Participant_33
False,92,14015,False,45_2.mp4,39,4,2.0,0.8,8.0,4.0,45.0,2.2,1.4285714285714284,120.5,0.0017857142857142857,Participant_33
False,61,13999,True,4_1.mp4,40,4,1.0,0.8,8.0,4.0,4.0,2.2,1.0,120.5,0.0009285714285714286,Participant_33
